Start Date,End Date,Seminar,Instructor,Location,Link,Status,Group Month,Notes,Sort Order,Source
2025-12-31,2026-01-04,Hiroshi Ikeda Shihan at ASU Florida Winter Intensive,Hiroshi Ikeda Shihan,"St. Pete Beach, FL, USA",https://winterintensive.com/wi2xxxx/,Confirmed,,,10,https://www.aikidoshimbokukai.org/events
2026-01-09,2026-01-11,Hiroshi Ikeda Shihan at Aikido Tamalpais,Hiroshi Ikeda Shihan,"Corte Madera, CA, USA",https://www.tam-aikido.org/bay-area-seminars,Confirmed,,,20,https://www.aikidoshimbokukai.org/events
2026-01-10,2026-01-11,Meido Moore Shihan at Tengoku Dojo,,"Gdansk, POLAND",https://www.aai-polska.pl/,Confirmed,,,30,https://www.aikidoshimbokukai.org/events
2026-01-16,2026-01-18,"Hiroshi Ikeda Shihan, Lisa Tomoleoni Shihan, Tom Liu Sensei, Cat Strada Sensei, and others at San Diego Aikido Bridge Seminar",Hiroshi Ikeda Shihan,"San Diego, CA, USA",https://www.sandiegoaikido.com/2026-san-diego-bridge,Postponed,,Dates retained from the linked event page; the current list displays POSTPONED.,40,https://www.aikidoshimbokukai.org/events
2026-01-30,2026-02-01,Hiroshi Ikeda Shihan at Hawaii Kona Winter Camp,Hiroshi Ikeda Shihan,"Big Island of Hawaii Kailua-Kona, USA",,Confirmed,,No event link is provided on the current list.,10,https://www.aikidoshimbokukai.org/events
2026-02-13,2026-02-15,Hiroshi Ikeda Shihan at Aikido Shobukan Dojo,Hiroshi Ikeda Shihan,"Washington D.C., USA",,Confirmed,,No event link is provided on the current list.,20,https://www.aikidoshimbokukai.org/events
2026-02-20,2026-02-22,Hiroshi Ikeda Shihan at Aikido en Escazú,Hiroshi Ikeda Shihan,"Escazú, San José, COSTA RICA",,Confirmed,,No event link is provided on the current list.,30,https://www.aikidoshimbokukai.org/events
2026-02-20,2026-02-22,Lisa Tomoleoni Shihan at Pune Aikikai,,"Pune, INDIA",https://www.puneaikikai.org/,Confirmed,,,40,https://www.aikidoshimbokukai.org/events
2026-03-01,2026-03-01,Breath & Budo Seminar with Jim Tabor Sensei at Crestwood Aikido Shinjinkan Dojo,,"Oak Forest, IL, USA (+VIRTUAL)",https://www.aikidoshimbokukai.org/events-master/2026-tabor-breath,Confirmed,,,10,https://www.aikidoshimbokukai.org/events
2026-03-20,2026-03-22,"Hiroshi Ikeda Shihan, Meido Moore Shihan, Lisa Tomoleoni Shihan, and others at Midwest Aikido Bridge Seminar",Hiroshi Ikeda Shihan,"Milwaukee, WI, USA (+VIRTUAL)",https://www.aikidoshimbokukai.org/events-master/2026-midwest-bridge,Confirmed,,,20,https://www.aikidoshimbokukai.org/events
2026-04-03,2026-04-05,Hiroshi Ikeda Shihan at Helsinki Aikikai,Hiroshi Ikeda Shihan,"Helsinki, FINLAND",,Confirmed,,No event link is provided on the current list.,10,https://www.aikidoshimbokukai.org/events
2026-04-10,2026-04-12,Hiroshi Ikeda Shihan at Shumeikai Italia,Hiroshi Ikeda Shihan,"Monza, ITALY",https://www.shumeikai.it/evento/hiroshi-ikeda-3/,Confirmed,,,20,https://www.aikidoshimbokukai.org/events
2026-04-17,2026-04-19,Hiroshi Ikeda Shihan in Morocco,Hiroshi Ikeda Shihan,MOROCCO,,Confirmed,,No event link is provided on the current list.,30,https://www.aikidoshimbokukai.org/events
2026-04-24,2026-04-26,Hiroshi Ikeda Shihan at Tampa Aikido,Hiroshi Ikeda Shihan,"Tampa, FL, USA",https://tampaaikido.com/,Confirmed,,,40,https://www.aikidoshimbokukai.org/events
2026-04-25,2026-04-26,Lisa Tomoleoni Shihan at Indianapolis Aikikai,,"Indianapolis, IN, USA",https://indyaikido.org/,Confirmed,,,50,https://www.aikidoshimbokukai.org/events
2026-05-01,2026-05-03,"Meido Moore Shihan, Lisa Tomoleoni Shihan at Korinji Monastery and Budo Dojo - ""Shugyo: A Weekend Retreat"" (Aikido, Iaido, Battoho, Sado, Zen)",,"Reedsburg, WI, USA",https://www.aikidoshimbokukai.org/events-master/2026-shugyo,Confirmed,,,10,https://www.aikidoshimbokukai.org/events
2026-05-07,2026-05-10,Hiroshi Ikeda Shihan at CSC Aikido Briare,Hiroshi Ikeda Shihan,"Briare, FRANCE",https://www.aikidobriare.org/,Confirmed,,,20,https://www.aikidoshimbokukai.org/events
2026-05-17,2026-05-17,"Spring Instructors Intensive with Don Ellingsworth Sensei, Kimberly Richardson Sensei, Meik Skoss Sensei, and Art Wise Shihan VIRTUAL via Zoom",,VIRTUAL via Zoom,https://www.aikidoshimbokukai.org/events-master/2026-springinstructorsintensive,Confirmed,,,30,https://www.aikidoshimbokukai.org/events
2026-05-22,2026-05-24,Hiroshi Ikeda Shihan at Nashville Aikikai,Hiroshi Ikeda Shihan,"Nashville, TN, USA",https://nashvilleaikikai.org/classes/seminars/,Confirmed,,,40,https://www.aikidoshimbokukai.org/events
2026-05-28,2026-05-31,Hiroshi Ikeda Shihan at Aikido Kenkyukai,Hiroshi Ikeda Shihan,"Los Angeles, CA, USA",https://www.aki-usa.org/,Confirmed,,,50,https://www.aikidoshimbokukai.org/events
2026-05-30,2026-05-30,"""Two Views"" Lisa Tomoleoni Shihan, Bob Garza Shihan at A Center for the Martial Arts",,"Palos Hills, IL, USA",https://www.aikidoshimbokukai.org/events-master/2026-garza-tomoleoni,Confirmed,,,60,https://www.aikidoshimbokukai.org/events
2026-05-30,2026-05-31,Seminar with Haruo Matsuoka Shihan at Aiki Budo of Denver,,"Denver, CO, USA",https://www.aikibudoofdenver.com/matsuoka_seminar.html,Confirmed,,,70,https://www.aikidoshimbokukai.org/events
2026-06-12,2026-06-14,Hiroshi Ikeda Shihan at Allegheny Aikido,Hiroshi Ikeda Shihan,"Pittsburgh, PA, USA",https://www.alleghenyaikido.com/Events.html,Confirmed,,,10,https://www.aikidoshimbokukai.org/events
2026-06-13,2026-06-13,"""Two Views"" Lisa Tomoleoni Shihan, Kayla Feder Shihan at Aikido of Berkeley",,"Berkeley, CA, USA",https://www.aikidoshimbokukai.org/events-master/2026-feder-tomoleoni,Confirmed,,,20,https://www.aikidoshimbokukai.org/events
2026-06-14,2026-06-14,West Coast Future Leaders Seminar at Aikido of Berkeley,,"Berkeley, CA, USA",https://www.aikidoshimbokukai.org/events-master/2026-shimbokukai-westcoastfuture,Confirmed,,,30,https://www.aikidoshimbokukai.org/events
2026-06-20,2026-06-20,Lisa Tomoleoni Shihan- Aikido & Iaido at Great Lakes Aikido,,"Vernon Hills, IL, USA",https://www.greatlakesaikido.org/2026/04/13/june-20-aikido-iaido-with-tomoleoni-shihan/,Confirmed,,,40,https://www.aikidoshimbokukai.org/events
2026-06-21,2026-06-21,Midwest Future Leaders Seminar at Great Lakes Aikido,,"Vernon Hills, IL, USA (+VIRTUAL)",https://www.aikidoshimbokukai.org/events-master/2026-shimbokukai-midwestfutureleaders,Confirmed,,,50,https://www.aikidoshimbokukai.org/events
2026-06-26,2026-06-28,Lisa Tomoleoni Shihan at Aikido Bassano,,"Bassano del Grappa (VI), ITALY",https://www.aikidobassano.it/,Confirmed,,,60,https://www.aikidoshimbokukai.org/events
2026-07-11,2026-07-11,Lisa Tomoleoni Shihan at Prairie Aikikai,,"Sycamore, IL, USA",https://www.prairieaikikai.com/,Confirmed,,,10,https://www.aikidoshimbokukai.org/events
2026-07-17,2026-07-19,Hiroshi Ikeda Shihan at Aikijuku Dojo,Hiroshi Ikeda Shihan,"Kansas City, KS, USA",https://aikijuku.com/events/,Confirmed,,,20,https://www.aikidoshimbokukai.org/events
2026-07-18,2026-07-18,Knife Seminar De Joya Sensei & Lowry Sensei at Great Lakes Aikido,,"Vernon Hills, IL, USA",https://www.greatlakesaikido.org/2026/06/07/knife-seminar-2026/,Confirmed,,,30,https://www.aikidoshimbokukai.org/events
2026-07-22,2026-07-26,"Terumasa Hino Shihan (Hombu Dojo), Hiroshi Ikeda Shihan, Tres Hofmeister Shihan, Lisa Tomoleoni Shihan, and others at Aikido Shimbokukai & Boulder Aikikai Joint Summer Camp",Hiroshi Ikeda Shihan,"Boulder, CO, USA (+VIRTUAL)",https://www.boulderaikikai.org/boulder-aikido-summer-camp,Confirmed,,,40,https://www.aikidoshimbokukai.org/events
2026-07-31,2026-08-02,Hiroshi Ikeda Shihan at Aikido of Tamalpais,Hiroshi Ikeda Shihan,"Corte Madera, CA, USA",https://www.tam-aikido.org/bay-area-seminars,Confirmed,,,10,https://www.aikidoshimbokukai.org/events
2026-08-07,2026-08-09,Hiroshi Ikeda Shihan at Budo Dojo,Hiroshi Ikeda Shihan,"Beaverton, OR, USA",https://www.budodojo.com/,Confirmed,,,20,https://www.aikidoshimbokukai.org/events
2026-08-22,2026-08-23,Don Ellingsworth & Julie Tollen Seminar at Portsmouth Aikido,,"Portsmouth, NH, USA",https://www.portsmouthaikido.org/events/don-ellingsworth-jet-tollen,Confirmed,,The linked page spells the second instructor's name as Jet Tollen.,30,https://www.aikidoshimbokukai.org/events
2026-08-22,2026-08-30,Hiroshi Ikeda Shihan at Aikido Harmonie,Hiroshi Ikeda Shihan,"Le Vigan, France",https://www.aikido-harmonie.com/stage?lang=en%2F,Confirmed,,,40,https://www.aikidoshimbokukai.org/events
2026-08-23,2026-08-23,Lisa Tomoleoni Shihan- Aikido & Iaido at Shinjinkan Dojo,,"Oak Forest, IL, USA",https://www.shinjinkan.com/event-details/aikido-iaido-seminar-with-tomoleoni-shihan,Confirmed,,,50,https://www.aikidoshimbokukai.org/events
2026-09-04,2026-09-06,Hiroshi Ikeda Shihan at Istanbul Aikikai,Hiroshi Ikeda Shihan,"Istanbul, TURKEY",https://www.istanbulaikikai.org/tr/ana-sayfa-2/,Confirmed,,,10,https://www.aikidoshimbokukai.org/events
2026-09-11,2026-09-13,Hiroshi Ikeda Shihan at Two Cranes Aikido,Hiroshi Ikeda Shihan,"Seattle, WA, USA",https://twocranesaikido.com/events,Confirmed,,,20,https://www.aikidoshimbokukai.org/events
2026-09-18,2026-09-20,Hiroshi Ikeda Shihan at Bond Street Dojo,Hiroshi Ikeda Shihan,"New York, NY, USA",https://www.bondstreet.org/blog,Confirmed,,,30,https://www.aikidoshimbokukai.org/events
2026-09-25,2026-09-27,Hiroshi Ikeda Shihan at Aiki-Kai Zürich,Hiroshi Ikeda Shihan,"Zürich, SWITZERLAND",https://aikikai-zuerich.ch/seminars/?lang=en,Confirmed,,,40,https://www.aikidoshimbokukai.org/events
